LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,default.payment.next.month,TOTAL_BILL_AMT,TOTAL_PAY_AMT,PAY_BILL_RATIO,AVG_PAY_DELAY
20000.0,2,2,1,24,1,-3.946173632395356,-1.7814092655666816,0.604651825669326,-0.3333333333333333
120000.0,2,2,2,26,1,-3.7910511970530476,-1.5347778570350612,0.5498924056482977,0.5
90000.0,2,2,2,34,0,-2.5334144339014855,-1.1872177376440456,0.7742314871938388,0.0
50000.0,2,2,1,37,0,-0.613617775911953,-1.3383399625657326,-3.4637720866288038,0.0
50000.0,1,2,1,57,0,-2.3777407740417473,1.127216891981188,-0.8181632664281095,-0.3333333333333333
50000.0,1,1,2,37,0,-0.5852922604265851,-1.3699967300142577,-3.3035234197063494,0.0
500000.0,1,1,2,29,0,37.488596756446874,8.370175442577832,0.2174715668524813,0.0
100000.0,2,2,2,23,0,-3.8672046765712147,-1.5280386960596595,0.5329367340063721,-0.5
140000.0,2,3,1,28,0,-3.080688932364108,-1.4002486668521994,0.6729735738350937,0.3333333333333333
20000.0,1,3,2,35,0,-3.6052828682193256,-0.907599716570892,0.3483689727677147,-1.6666666666666667
200000.0,2,3,2,34,0,-3.553350176400796,-1.4011993263594071,0.5487689621697477,0.16666666666666666
260000.0,2,1,2,51,0,-2.7096549960348364,2.0542835438077676,-1.2015778321194746,-0.5
630000.0,2,2,2,41,0,-3.4468038047586393,-0.49688207187431505,0.20307393298472048,-0.8333333333333334
70000.0,1,2,2,30,1,0.9867574081318192,-1.1580426812529305,-0.5828807666769227,1.1666666666666667
250000.0,1,1,2,29,0,1.564202194116981,-0.7729763642759153,-0.3014490690513197,0.0
50000.0,2,3,3,23,0,-1.109882599004679,-1.4601680217104445,13.288437249725662,0.5
20000.0,1,1,2,24,1,-2.4393093243934456,-1.4249184199467144,0.9900015207274532,1.3333333333333333
320000.0,1,1,1,49,0,10.127915151206057,20.45308295133823,1.8379977447187401,-0.5
360000.0,2,1,1,49,0,-4.052833951378268,-1.8113131481716942,0.5933218697839552,-1.5
180000.0,2,1,2,29,0,-4.052833951378268,-1.8113131481716942,0.5933218697839552,-1.5
130000.0,2,3,2,39,0,-2.259549392742505,0.5811461959791193,-0.46139214494300146,-0.16666666666666666
120000.0,2,2,1,39,1,-4.0238442834035775,-1.7174938258916224,0.5679835550124447,-1.0
70000.0,2,2,2,26,1,-0.021112978120493495,-1.2024331757084687,-1.2283676755666284,1.3333333333333333
450000.0,2,1,1,40,1,-3.675174490198233,-0.47914829754735033,0.17910917560814696,-2.0
90000.0,1,1,2,23,0,-3.5613140350748367,-0.8341873879307317,0.32568727477665904,-0.16666666666666666
50000.0,1,3,2,23,0,-0.8537920212628766,-1.3564443426710888,-9.277498768449059,0.0
60000.0,1,1,2,27,1,-4.058521580142994,-1.6797429036153102,0.5492009324115273,-0.8333333333333334
50000.0,2,3,2,30,0,-2.3537883278211136,-1.4014761910030633,1.0352254944158827,0.0
50000.0,2,3,1,47,0,-3.410214716368776,0.6186965688133381,-0.25669769776589235,-1.0
50000.0,1,1,2,26,0,-2.5874617107326436,-1.4302920959208336,0.9009931302599586,0.0
